Iteration	bike	car	car_passenger	pt	walk
0	0.02627987261487409	0.3203628870393663	0.09489656648914818	0.2072952070008296	0.3511654668557818
1	0.026146064709503036	0.32349399202504886	0.09489656648914818	0.20748253806834907	0.3479808387079509
2	0.026172826290577246	0.3274279444429577	0.09489656648914818	0.20662616747397436	0.3448764953033425
3	0.02627987261487409	0.3290336393074103	0.09489656648914818	0.20646559798752911	0.3433243236010384
4	0.02542350202049937	0.3316295126716086	0.09489656648914818	0.20748253806834907	0.34056788075039474
5	0.024353038777530978	0.3340648165493617	0.09489656648914818	0.20659940589290016	0.340086172291059
6	0.02421923087215993	0.3361522198731501	0.09489656648914818	0.20603741269034176	0.33869457007520004
7	0.024085422966788877	0.3388283779805711	0.09489656648914818	0.20582332004174805	0.33636631252174376
8	0.024299515615382558	0.34067492707469155	0.09489656648914818	0.20657264431182595	0.3335563465089518
9	0.02384456873712099	0.34222709877699575	0.09489656648914818	0.20659940589290016	0.3324323601038349
10	0.02336286027778521	0.34546525008697515	0.09489656648914818	0.20528808842026386	0.3309872347258276
11	0.02376428399389836	0.3469638986271309	0.09489656648914818	0.20571627371745121	0.32865897717237136
12	0.02341638343993363	0.34955977199132926	0.09489656648914818	0.20611769743356437	0.3260095806460246
13	0.02392485348034362	0.3510048973693366	0.09489656648914818	0.20627826692000964	0.323895415741162
14	0.02373752241282415	0.35164717531511763	0.09489656648914818	0.20732196858190383	0.32239676720100624
15	0.023229052372414162	0.35368105547675754	0.09489656648914818	0.20769663071694275	0.3204966949447373
16	0.022907913399523645	0.35534027350335856	0.09489656648914818	0.20825862391950117	0.31859662268846844
17	0.022800867075226803	0.35801643161077956	0.09489656648914818	0.20764310755479434	0.3166430272700511
18	0.022345920196965238	0.3594080338266385	0.09489656648914818	0.20791072336553643	0.3154387561217117
19	0.02221211229159419	0.3616560066368721	0.09489656648914818	0.2075895843926459	0.3136457301897396
20	0.022105065967297347	0.36267294671769207	0.09489656648914818	0.20855300131131746	0.31177241951454493
21	0.022078304386223137	0.3629940856905826	0.09489656648914818	0.20852623973024326	0.31150480370380285
22	0.022051542805148927	0.3643589263253673	0.09489656648914818	0.20849947814916905	0.31019348623116655
23	0.021569834345813152	0.36596462118981987	0.09489656648914818	0.2086332860545401	0.30893569192067866
24	0.02183745015655525	0.36698156127063986	0.09489656648914818	0.20898118660850484	0.30730323547515187
25	0.02226563545374261	0.36767736237856935	0.09489656648914818	0.20791072336553643	0.30724971231300346
26	0.021569834345813152	0.36909572617550246	0.09489656648914818	0.2085797628923917	0.30585811009714453
27	0.021998019643000508	0.3689886798512056	0.09489656648914818	0.20874033237883693	0.30537640163780877
28	0.021944496480852088	0.3697380041212835	0.09489656648914818	0.208365670243798	0.3050552626649182
29	0.021489549602590523	0.3705408515535098	0.09489656648914818	0.2094896566489148	0.3035833757058367
30	0.02140926485936789	0.3714507453100329	0.09489656648914818	0.20903470977065325	0.30320871357079776
31	0.021195172210774212	0.3710493215939198	0.09489656648914818	0.20954317981106324	0.3033157598950946
32	0.021088125886477373	0.3708352289453261	0.09489656648914818	0.21034602724328955	0.3028340514357588
33	0.02127545695399684	0.3716113147964782	0.09489656648914818	0.2102657425000669	0.3019509192603099
34	0.020874033237883696	0.3715042684721813	0.09489656648914818	0.2107742125404769	0.3019509192603099
35	0.020766986913586853	0.37214654641796235	0.09489656648914818	0.21045307356758639	0.30173682661171625
