ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	4231.978528180463	7153.9908655070385	
1	4241.5866886194035	7182.807659313425	
2	4268.7893746635855	7204.8563114201315	
3	4291.979393364857	7256.827229819257	
4	4294.709785987665	7275.78869248603	
5	4305.022328674389	7288.560308056945	
6	4302.237824182753	7286.93702402742	
7	4314.306634808241	7306.587529652414	
8	4313.759520973642	7322.746616886628	
9	4318.5100208215545	7337.64136407518	
10	4343.238532593946	7355.564272800593	
11	4340.859186359925	7367.433567110686	
12	4344.935935414194	7378.898197563048	
13	4354.6810917960875	7396.052538343544	
14	4342.969102186622	7392.9904017047775	
15	4345.108461935371	7400.053547045697	
16	4352.134458578608	7420.4104453787595	
17	4371.32835865422	7440.209696070492	
18	4372.628817628574	7446.503973027917	
19	4372.003599130379	7441.080335386015	
20	4377.889487186783	7470.783561051868	
21	4377.218262599026	7474.26437862885	
22	4375.054677775379	7481.562709282881	
23	4379.372017918563	7492.019651886363	
24	4369.539567331621	7484.367134637365	
25	4381.589615840708	7495.261837693041	
26	4383.7728013313745	7505.666224206301	
27	4378.102772273715	7508.186500625028	
28	4385.96755969197	7515.862858199058	
29	4370.236236232897	7505.729856421592	
30	4372.207504493258	7511.835266359612	
31	4381.48032411942	7530.611248616201	
32	4382.745495573318	7541.002164209479	
33	4369.076156043135	7518.831156339769	
34	4371.276546849205	7535.388220882222	
35	4374.968145423761	7544.176635772668	
36	4377.207222848109	7542.359153291649	
37	4372.770565844926	7533.881940418552	
38	4371.717940137014	7527.853115903454	
39	4375.134504504249	7530.450004376888	
40	4381.262927714864	7534.441188247837	
41	4371.535778434309	7529.082154623171	
42	4366.947735656851	7517.896776890933	
43	4357.862198346257	7508.746513577081	
44	4358.666537171213	7513.007750496321	
45	4359.1189590629065	7516.241182089427	
46	4365.286594348212	7537.4435686364495	
47	4360.694853260986	7531.102861734488	
48	4359.108047594707	7532.4217479719	
49	4362.088444032439	7541.823937719923	
50	4353.345397676204	7534.992355820039	
51	4359.670155192412	7543.392112912774	
52	4358.937845651931	7539.3660821762705	
53	4360.061144105976	7538.596824902951	
54	4362.946405374876	7549.14229307004	
55	4365.446187403954	7559.751855922998	
56	4355.868003707421	7544.4478151745025	
57	4359.611095044554	7546.257832787808	
58	4362.7660474734585	7549.987789233328	
59	4365.511815506463	7554.0625581973345	
60	4360.13949160711	7542.285482107794	
